model,L,AIC,AICc,BIC,N,p
Blosum62+G8+FC+IC,-167402.831823,336753.663646,2236053.663646,341454.718693,974,0.0
Blosum62+G8+FC+IO,-167365.638518,336679.277036,2235979.277036,341380.332083,974,0.0
Blosum62+G8+FO,-166206.347267,334358.694534,2229762.694534,339054.923037,973,0.0
Blosum62+G8+FO+IC,-166221.63052,334391.26104,2233691.26104,339092.316088,974,0.0
Blosum62+G8+FO+IO,-166185.276146,334318.552292,2233618.552292,339019.60734,974,0.0
FLU,-186346.460522,374598.921043,2192922.921043,379198.618641,953,0.0
FLU+IC,-184349.279044,370606.558087,2192746.558087,375211.082231,954,0.0
Blosum62+G8,-167006.945497,335921.890994,2158061.890994,340526.415137,954,0.0
DCMut+G8+FC,-165635.623731,333217.247462,2228621.247462,337913.475965,973,0.0
DCMut+G8+FC+IC,-165666.276172,333280.552344,2232580.552344,337981.607392,974,0.0
DCMut+G8+FC+IO,-165621.356943,333190.713886,2232490.713886,337891.768933,974,0.0
DCMut+G8+FO,-164695.658943,331337.317887,2226741.317887,336033.546389,973,0.0
DCMut+G8+FO+IC,-164732.668704,331413.337409,2230713.337409,336114.392456,974,0.0
DCMut+G8+FO+IO,-164687.350964,331322.701929,2230622.701929,336023.756977,974,0.0
DEN,-180512.827064,362931.654127,2181255.654127,367531.351725,953,0.0
DEN+IC,-178773.818877,359455.637755,2181595.637755,364060.161898,954,0.0
DEN+IO,-178741.449415,359390.898829,2181530.898829,363995.422973,954,0.0
DEN+FC,-180423.244448,362790.488896,2254302.488896,367481.890853,972,0.0
DEN+G8+FO,-163968.858219,329883.716438,2225287.716438,334579.944941,973,0.0
DEN+FC+IO,-178584.023882,359114.047764,2254518.047764,363810.276267,973,0.0
DEN+FO,-182780.998363,367505.996725,2259017.996725,372197.398683,972,0.0
DEN+FO+IC,-180949.865227,363845.730455,2259249.730455,368541.958957,973,0.0
DEN+FO+IO,-180917.484,363780.968,2259184.968,368477.196503,973,0.0
DEN+G8,-164621.431638,331150.863276,2153290.863276,335755.387419,954,0.0
DEN+G8+IC,-164638.141567,331186.283133,2157146.283133,335795.633822,955,0.0
DEN+G8+IO,-164599.326933,331108.653867,2157068.653867,335718.004555,955,0.0
DEN+G8+FC,-164764.017765,331474.03553,2226878.03553,336170.264032,973,0.0
DEN+G8+FC+IC,-164797.327575,331542.65515,2230842.65515,336243.710198,974,0.0
DEN+G8+FC+IO,-164759.090783,331466.181565,2230766.181565,336167.236613,974,0.0
DEN+FC+IC,-178616.356104,359178.712207,2254582.712207,363874.94071,973,0.0
rtREV+FO+IO,-182310.765198,366567.530395,2261971.530395,371263.758898,973,0.0
rtREV+G8,-166324.728775,334557.457549,2156697.457549,339161.981692,954,0.0
rtREV+G8+IC,-166339.614002,334589.228005,2160549.228005,339198.578693,955,0.0
rtREV+G8+IO,-166300.414846,334510.829693,2160470.829693,339120.180381,955,0.0
rtREV+G8+FC,-165743.716078,333433.432156,2228837.432156,338129.660658,973,0.0
rtREV+G8+FC+IC,-165783.304666,333514.609331,2232814.609331,338215.664379,974,0.0
rtREV+G8+FC+IO,-165744.491811,333436.983622,2232736.983622,338138.03867,974,0.0
rtREV+G8+FO,-165123.441041,332192.882082,2227596.882082,336889.110585,973,0.0
rtREV+G8+FO+IC,-165154.849352,332257.698705,2231557.698705,336958.753752,974,0.0
LG,-181147.576879,364201.153757,2182525.153757,368800.851355,953,0.0
stmtREV,-189343.936961,380593.873921,2198917.873921,385193.571519,953,0.0
stmtREV+IC,-187202.982977,376313.965955,2198453.965955,380918.490098,954,0.0
stmtREV+IO,-187171.208087,376250.416174,2198390.416174,380854.940318,954,0.0
stmtREV+FC,-188682.814585,379309.629169,2270821.629169,384001.031127,972,0.0
stmtREV+FC+IC,-186388.799679,374723.599359,2270127.599359,379419.827861,973,0.0
stmtREV+FC+IO,-186357.130282,374660.260563,2270064.260563,379356.489066,973,0.0
stmtREV+FO,-186268.853778,374481.707555,2265993.707555,379173.109513,972,0.0
stmtREV+FO+IC,-184079.30858,370104.61716,2265508.61716,374800.845662,973,0.0
stmtREV+FO+IO,-184047.609122,370041.218244,2265445.218244,374737.446746,973,0.0
stmtREV+G8,-173532.760722,348973.521445,2171113.521445,353578.045588,954,0.0
rtREV+G8+FO+IO,-165115.06055,332178.121101,2231478.121101,336879.176148,974,0.0
PMB+IO,-179173.914584,360255.829168,2182395.829168,364860.353311,954,0.0
PMB+FC,-181247.795332,364439.590664,2255951.590664,369130.992621,972,0.0
PMB+FC+IC,-179371.957594,360689.915188,2256093.915188,365386.14369,973,0.0
PMB+FC+IO,-179339.62944,360625.25888,2256029.25888,365321.487383,973,0.0
PMB+FO,-180039.242793,362022.485586,2253534.485586,366713.887543,972,0.0
PMB+FO+IC,-178181.497358,358308.994717,2253712.994717,363005.223219,973,0.0
PMB+FO+IO,-178149.228895,358244.45779,2253648.45779,362940.686293,973,0.0
PMB+G8,-166539.844505,334987.68901,2157127.68901,339592.213153,954,0.0
PMB+G8+IC,-166552.690439,335015.380878,2160975.380878,339624.731566,955,0.0
rtREV+FO,-184137.839184,370219.678367,2261731.678367,374911.080325,972,0.0
PMB+G8+FC,-167011.709235,335969.418471,2231373.418471,340665.646973,973,0.0
PMB+G8+FC+IC,-167031.267686,336010.535372,2235310.535372,340711.590419,974,0.0
PMB+G8+FC+IO,-166994.384473,335936.768946,2235236.768946,340637.823994,974,0.0
PMB+G8+FO,-165932.531628,333811.063256,2229215.063256,338507.291758,973,0.0
PMB+G8+FO+IC,-165945.344764,333838.689528,2233138.689528,338539.744576,974,0.0
PMB+G8+FO+IO,-165909.675407,333767.350814,2233067.350814,338468.405862,974,0.0
rtREV+IC,-180323.931851,362555.863703,2184695.863703,367160.387846,954,0.0
rtREV+IO,-180291.597992,362491.195984,2184631.195984,367095.720127,954,0.0
rtREV+FC+IC,-179727.221499,361400.442998,2256804.442998,366096.671501,973,0.0
rtREV+FC+IO,-179694.852067,361335.704134,2256739.704134,366031.932636,973,0.0
PMB+G8+IO,-166516.822118,334943.644237,2160903.644237,339552.994925,955,0.0
VT+G8+FO+IC,-164353.161137,330654.322275,2229954.322275,335355.377322,974,0.0
VT+G8+FO+IO,-164314.187409,330576.374818,2229876.374818,335277.429866,974,0.0
WAG,-179434.478905,360774.957809,2179098.957809,365374.655407,953,0.0
cpREV+G8+FO+IO,-165560.847831,333069.695662,2232369.695662,337770.75071,974,0.0
Dayhoff,-180483.567285,362873.13457,2181197.13457,367472.832168,953,0.0
Dayhoff+IO,-178542.501884,358993.003768,2181133.003768,363597.527911,954,0.0
Dayhoff+FC,-180502.930057,362949.860113,2254461.860113,367641.262071,972,0.0
Dayhoff+FC+IC,-178582.868176,359111.736352,2254515.736352,363807.964855,973,0.0
Dayhoff+FC+IO,-178550.377251,359046.754502,2254450.754502,363742.983004,973,0.0
stmtREV+G8+IC,-173455.1574,348820.3148,2174780.3148,353429.665489,955,0.0
Dayhoff+FO+IC,-177680.018802,357306.037605,2252710.037605,362002.266107,973,0.0
Dayhoff+FO+IO,-177647.617147,357241.234294,2252645.234294,361937.462797,973,0.0
Dayhoff+G8+IC,-165799.4635,333508.926999,2159468.926999,338118.277688,955,0.0
Dayhoff+G8+IO,-165754.575668,333419.151337,2159379.151337,338028.502025,955,0.0
Dayhoff+G8+FC,-165639.445297,333224.890593,2228628.890593,337921.119096,973,0.0
Dayhoff+G8+FC+IC,-165670.23904,333288.478079,2232588.478079,337989.533127,974,0.0
Dayhoff+G8+FC+IO,-165625.259109,333198.518219,2232498.518219,337899.573267,974,0.0
WAG+G8+FO,-164306.173652,330558.347303,2225962.347303,335254.575806,973,0.0
WAG+G8+FO+IC,-164323.012054,330594.024107,2229894.024107,335295.079155,974,0.0
WAG+G8+FO+IO,-164286.115079,330520.230158,2229820.230158,335221.285206,974,0.0
Dayhoff+FO,-179545.779202,361035.558404,2252547.558404,365726.960361,972,0.0
stmtREV+G8+IO,-173416.190504,348742.381008,2174702.381008,353351.731696,955,0.0
stmtREV+G8+FC,-172957.623361,347861.246723,2243265.246723,352557.475225,973,0.0
stmtREV+G8+FC+IC,-172966.666251,347881.332502,2247181.332502,352582.387549,974,0.0
stmtREV+G8+FC+IO,-172927.779092,347803.558185,2247103.558185,352504.613232,974,0.0
stmtREV+G8+FO,-170530.748615,343007.49723,2238411.49723,347703.725732,973,0.0
stmtREV+G8+FO+IC,-170544.997717,343037.995433,2242337.995433,347739.050481,974,0.0
stmtREV+G8+FO+IO,-170506.013,342960.026,2242260.026,347661.081047,974,0.0
VT,-179093.25809,360092.516181,2178416.516181,364692.213779,953,0.0
VT+IC,-177235.552035,356379.104071,2178519.104071,360983.628214,954,0.0
VT+G8+FO,-164328.781507,330603.563014,2226007.563014,335299.791516,973,0.0
VT+FC+IO,-177311.380748,356568.761496,2251972.761496,361264.989999,973,0.0
VT+FO,-178530.065704,359004.131408,2250516.131408,363695.533365,972,0.0
VT+FO+IC,-176680.917079,355307.834158,2250711.834158,360004.06266,973,0.0
VT+FO+IO,-176648.697336,355243.394671,2250647.394671,359939.623174,973,0.0
VT+G8,-164764.180054,331436.360109,2153576.360109,336040.884252,954,0.0
VT+G8+IC,-164785.941771,331481.883542,2157441.883542,336091.234231,955,0.0
VT+G8+IO,-164747.702262,331405.404524,2157365.404524,336014.755213,955,0.0
VT+G8+FC,-165055.022668,332056.045335,2227460.045335,336752.273838,973,0.0
VT+G8+FC+IC,-165079.027266,332106.054532,2231406.054532,336807.10958,974,0.0
VT+G8+FC+IO,-165038.526605,332025.05321,2231325.05321,336726.108257,974,0.0
VT+IO,-177203.284001,356314.568003,2178454.568003,360919.092146,954,0.0
mtART+FO+IC,-192379.134213,386704.268425,2282108.268425,391400.496928,973,0.0
mtART+FO+IO,-192346.173113,386638.346225,2282042.346225,391334.574728,973,0.0
mtART+G8,-176308.268129,354524.536259,2176664.536259,359129.060402,954,0.0
mtART+G8+IC,-176356.960614,354623.921228,2180583.921228,359233.271917,955,0.0
mtART+G8+IO,-176299.968075,354509.93615,2180469.93615,359119.286838,955,0.0
mtART+G8+FC,-171304.07467,344554.149341,2239958.149341,349250.377843,973,0.0
mtART+G8+FC+IC,-171340.958926,344629.917852,2243929.917852,349330.9729,974,0.0
